[Feb 21 10:30:27.568] [ET_NET 13] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [9] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fafa8, reader_start_offset=170
[Feb 21 10:30:27.568] [ET_NET 6] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [15] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9ec8, reader_start_offset=170
[Feb 21 10:30:27.568] [ET_NET 7] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [18] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9dd8, reader_start_offset=170
[Feb 21 10:30:27.569] [ET_NET 8] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [6] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbea8, reader_start_offset=170
[Feb 21 10:30:27.569] [ET_NET 12] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [0] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3faeb8, reader_start_offset=170
[Feb 21 10:30:27.569] [ET_NET 9] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [12] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f4b58, reader_start_offset=170
[Feb 21 10:30:27.569] [ET_NET 10] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [21] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f5ff8, reader_start_offset=170
[Feb 21 10:30:27.574] [ET_NET 16] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [8] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb908, reader_start_offset=170
[Feb 21 10:30:27.577] [ET_NET 13] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [24] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb638, reader_start_offset=170
[Feb 21 10:30:27.577] [ET_NET 7] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [29] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb188, reader_start_offset=170
[Feb 21 10:30:27.578] [ET_NET 20] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [3] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbbd8, reader_start_offset=170
